library_name,library_type,segment_variant,region,city,email,phone,address,website,source_url,source_date,in_greece,subject_variant,sent_date,replied,outcome,notes
"Δημοτική Βιβλιοθήκη Καβάλας ""Βασίλης Βασιλικός""",public,B,Αν. Μακεδονία & Θράκη,Κασσάνδρου,dimotikibibl@kavala.gov.gr,2513 500401,"Κασσάνδρου 6, Καβάλα 654 03, Ελλάδα",http://library.kavala.gov.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-kavalas-vasilis-vasilikos/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Κομοτηνής,public,B,Αν. Μακεδονία & Θράκη,Δημοκρίτου  και Στουκόπουλου,vivkomot@otenet.gr,2531022589,"Δημοκρίτου 17 και Στουκόπουλου, Κομοτηνή 691 00, Ελλάδα",https://komotinilib.openabekt.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-komotinis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Κυπρίνου,public,B,Αν. Μακεδονία & Θράκη,Kyprinos,libkyp@gmail.com,2556022200,"Kyprinos 680 06, Greece",,https://network.nlg.gr/library/dimotiki-vivliothiki-kyprinoy/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ορεστιάδας-ΔΗ.Κ.Ε.Π.Α.Ο.,public,B,Αν. Μακεδονία & Θράκη,Ευριπίδου Ζίγκμπουργκ,vivlorestevr@sch.gr,25520 27588,"Ευριπίδου Ζίγκμπουργκ 65, Ορεστιάδα 682 00",https://liborest.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-orestiadas-di-k-e-p-a-o/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Σαπών,public,B,Αν. Μακεδονία & Θράκη,Πεζόδρομος Μπακογιάννη Παύλου,sapeslibrary26@gmail.com,2532023570,Πεζόδρομος Μπακογιάννη Παύλου 32,,https://network.nlg.gr/library/dimotiki-vivliothiki-sapon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Τυχερού,public,B,Αν. Μακεδονία & Θράκη,Tompaidi,btychero20@gmail.com,2554041912,"Tompaidi 21, Tichero 680 03, Greece",,https://network.nlg.gr/library/dimotiki-vivliothiki-tycheroy/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Δράμας,public,B,Αν. Μακεδονία & Θράκη,Αγίας Βαρβάρας  Δράμα,kenbibldra@sch.gr,2521033382,Αγίας Βαρβάρας 5 Δράμα 66100,http://vivl-dramas.dra.sch.gr/,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-dramas/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Ελευθερούπολης,public,B,Αν. Μακεδονία & Θράκη,Πλατεία Αγίου Νικολάου,mail@vivl-elefth.kav.sch.gr,2592022545,"Πλατεία Αγίου Νικολάου 6, Τ.Κ. 64100, Ελευθερούπολη Καβάλας",,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-eleftheroupolis/,2026-08-21,yes,1,,,,
Διεύθυνση Πολιτισμού Δήμου Ξάνθης-Βιβλιοθήκη,public,B,Αν. Μακεδονία & Θράκη,Πλατεία Διοικητηρίου Α Ξάνθη,vivlio@cityofxanthi.gr,2541022415,Πλατεία Διοικητηρίου 1Α Ξάνθη 67133,http://www.cultureofxanthi.gr,https://network.nlg.gr/library/kentro-politismou-dimou-xanthis-vivliothiki/,2026-08-21,yes,1,,,,
Παιδική και Εφηβική Βιβλιοθήκη Ξυλαγανής,community,B,Αν. Μακεδονία & Θράκη,Ξυλαγανή,xylibrarykids@gmail.com,"6940867480, 6981694985","Ξυλαγανή 694 00, Ελλάδα",,https://network.nlg.gr/library/paidiki-kai-efiviki-vivliothiki-xylaganis/,2026-08-21,yes,1,,,,
Αισχύλειος Δημοτική Βιβλιοθήκη Ελευσίνας,public,B,Αττική,Παγκάλου και Κίμωνος  Ελευσίνα,vivlio.ele@elefsina.gr,2105565601,Παγκάλου και Κίμωνος 11 Ελευσίνα 19200,https://elefsina.gr/el/content/%CE%B1%CE%B9%CF%83%CF%87%CF%8D%CE%BB%CE%B5%CE%B9%CE%B1-%CE%B4%CE%B7%CE%BC%CE%BF%CF%84%CE%B9%CE%BA%CE%AE-%CE%B2%CE%B9%CE%B2%CE%BB%CE%B9%CE%BF%CE%B8%CE%AE%CE%BA%CE%B7,https://network.nlg.gr/library/eschilios-dimotiki-vivliothiki-elefsinas/,2026-08-21,yes,1,,,,
"Βιβλιοθήκη Δήμου Αγίας Βαρβάρας ""Ν. Χαχλάκης""",public,B,Αττική,Σερίφου  Αγία Βαρβάρα,librarydab@yahoo.gr,2105699423,Σερίφου 2 Αγία Βαρβάρα 12351,,https://network.nlg.gr/library/vivliothiki-dimou-agias-varvaras-n-chachlakis/,2026-08-21,yes,1,,,,
"Βιβλιοθήκη Οργανισμού Παιδείας Πολιτισμού και Περιβάλλοντος ""Ο ΞΕΝΟΦΩΝ"" Δήμου Σπάτων Αρτέμιδος",public,B,Αττική,Λεωφόρος Βραυρώνος η Στάση Αρτέμιδα Αττικής,oxenofonnpdd@gmail.com,2294045565,Λεωφόρος Βραυρώνος 5η Στάση Αρτέμιδα Αττικής 19016,,https://network.nlg.gr/library/vivliothiki-organismou-pedias-politismou-ke-perivallontos-o-xenofon-dimou-spaton-artemidos/,2026-08-21,yes,1,,,,
Βιβλιοθήκη Πνευματικού Κέντρου Θρακομακεδόνων,public,B,Αττική,Πλατεία Αριστοτέλους και Ορφέως Θρακομακεδόνες Αχαρνές,pnevmatikokentro@yahoo.gr,2132140322,Πλατεία Αριστοτέλους και Ορφέως Θρακομακεδόνες Αχαρνές 13676,,https://network.nlg.gr/library/vivliothiki-pnevmatikou-kentrou-thrakomakedonon/,2026-08-21,yes,1,,,,
"Βιβλιοθήκη Σαρωνίδας ""Αντώνιος Ιωαννίδης""",public,B,Αττική,Αρμονίας,anioan@otenet.gr,"6973660766, 2291053843","Αρμονίας 25, Σαρωνίδα 190 13, Ελλάδα",,https://network.nlg.gr/library/vivliothiki-saronidas-quot-antonios-ioannidis-quot/,2026-08-21,yes,1,,,,
Βορέειος Βιβλιοθήκη Δήμου Αμαρουσίου,public,B,Αττική,Στέφανου Δραγούμη  & Μιλτιάδου Μαρούσι Αττικής,biblio@maroussi.gr,2106147181,Στέφανου Δραγούμη 30 & Μιλτιάδου Μαρούσι Αττικής 151 22,http://www.voreeios.gr,https://network.nlg.gr/library/voreios-vivliothiki-dimou-amarousiou/,2026-08-21,yes,1,,,,
Βρεφική-Νηπιακή Βιβλιοθήκη ΟΠΑΝ Δήμου Αθηναίων,community,B,Αττική,Αμπελόκηποι Αθήνα,vrefikilibrary@gmail.com,2108829735,"Λάμψα & Τριφυλίας, Αμπελόκηποι Αθήνα 11524",http://www.opanda.gr/?page_id=7921,https://network.nlg.gr/library/vrefiki-nipiaki-vivliothiki-opan-dimou-athineon/,2026-08-21,yes,1,,,,
Δημοσθένειος Δημοτική Βιβλιοθήκη Παιανίας,public,B,Αττική,Λ.Μαργέτη & Νικολογιάννη  Παιανία Αττικής,dimostheneios.library@gmail.com,2106646575,Λ.Μαργέτη & Νικολογιάννη 1 Παιανία Αττικής 19002,,https://network.nlg.gr/library/dimosthenios-dimotiki-vivliothiki-peanias/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη ""Χρήστος Μπέκας"" του Δήμου Σπάτων-Αρτέμιδος",public,B,Αττική,Σπάτα,info@spatapolixoros.gr,2106634178,"Αδαμαντίου Κοραή και Βύρωνος, Σπάτα, Νομός Αττικής, 19004",,https://network.nlg.gr/library/vivliothiki-pnevmatikou-kentrou-christos-bekas-dimou-spaton-artemidos/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αγ.Ιωάννη Ρέντη,public,B,Αττική,Μπιχάκη  Αγ. Ιωάννης Ρέντης,vivliorentis@yahoo.gr,2104838374,Μπιχάκη 15 Αγ. Ιωάννης Ρέντης 18233,http://nikaiarentislib.blogspot.gr/,https://network.nlg.gr/library/vivliothiki-ag-i-renti/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αγίων Αναργύρων-Καματερού,public,B,Αττική,Άγιοι Ανάργυροι,vivliothiki@agankam.gov.gr,,,https://www.agan.gov.gr/,https://www.agan.gov.gr/,2026-08-21,yes,1,,,,βρέθηκε με σάρωση δήμων· επαληθεύτηκε στη σελίδα του δήμου
Δημοτική Βιβλιοθήκη Αιγάλεω,public,B,Αττική,Δημαρχείου  και Κουντουριώτη Αιγάλεω,libraryaigaleo@gmail.com,210-5907060,Δημαρχείου 17 και Κουντουριώτη Αιγάλεω 12242,,https://network.nlg.gr/library/dimotiki-vivliothiki-egaleo/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αλίμου ΘΟΠΑΑ,public,B,Αττική,Μπιζανίου,vliothiki.thopaa@gmail.com,2109833399,"Μπιζανίου 18, 174 56 Άλιμος",http://www.thopaa.gr/vivliothiki/,https://network.nlg.gr/library/dimotiki-vivliothiki-alimou-thopaa/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Αυλώνα ""Δημήτριος Λιακούρης""",public,B,Αττική,Αυλώνα,biblioavlon@gmail.com,,"Τέρμα Ρήγα Φεραίου, Αυλώνα 19011",,https://network.nlg.gr/library/dimotiki-vivliothiki-avlona-dimitrios-liakouris/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αχαρνών,public,B,Αττική,Δεκελείας  & Δημοκρίτου,library@acharnes.gr,210 2476213,"Δεκελείας 40 & Δημοκρίτου, Αχαρνές, Τ.Κ. 13674, Αττική",,https://network.nlg.gr/library/dimotiki-vivliothiki-acharnon/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Γλυφάδας,public,B,Αττική,Επαμεινώνδα,library@glyfada.gr,210 96 41 298,"Επαμεινώνδα 30, Γλυφάδα 166 74",http://www.glyfada.gr/frontoffice/portal.asp?cpage=RESOURCE&cresrc=232&cnode=164,https://network.nlg.gr/library/dimotiki-vivliothiki-glifadas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δάφνης,public,B,Αττική,Ηλιουπόλεως  Δάφνη,dafnilibrary@gmail.com,2109711141,Ηλιουπόλεως 120 Δάφνη 17237,,https://network.nlg.gr/library/dimotiki-vivliothiki-dafnis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δήμου Αγίου Δημητρίου,public,B,Αττική,Ειρήνης,dad-lib@dad.gr,2109719423,"Ειρήνης 17, Αγ. Δημήτριος 173 41, Ελλάδα",http://www.dad.gr/index.php/library,https://network.nlg.gr/library/dimotiki-vivliothiki-dimou-agiou-dimitriou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δήμου Γαλατσίου- στο Καμίνι,public,B,Αττική,Χρήστου Καψάλη -,kamini@galatsi.gr,"2102927330, 2102132430","Χρήστου Καψάλη 14-16, Γαλάτσι 111 46",http://www.tokamini.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-dimou-galatsiou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δήμου Ηρακλείου Αττικής,public,B,Αττική,ΚΟΥΝΤΟΥΡΙΩΤΟΥ Α & ΝΕΟΤΗΤΟΣ,library@iraklio.gr,"2102826276, 2102856837","ΚΟΥΝΤΟΥΡΙΩΤΟΥ 18Α & ΝΕΟΤΗΤΟΣ, 141 22, ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ, Ηράκλειο Αττικής, Ελλάδα",,https://network.nlg.gr/library/vivliothiki-dimou-irakliou-attikis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δήμου Μεταμόρφωσης,public,B,Αττική,Μεταμόρφωση,library@metamorfossi.gr,210 2850163,"Φωτίου Γκινοσάτη & Νικολάου Πλαστήρα, Μεταμόρφωση 144 52",,https://network.nlg.gr/library/dimotiki-vivliothiki-dimou-metamorfosis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δήμου Ραφήνας Πικερμίου,public,B,Αττική,Ραφήνα,raf_bibl@hotmail.com,2294026349,"Αραφηνίδων Αλών και Έλλης Αλεξίου, Ραφήνα 190 09",,https://network.nlg.gr/library/vivliothiki-dimou-rafinas-pikermiou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Διονύσου,public,B,Αττική,Ν. Πλαστήρα,vivliothikidionysou@dionysos.gr,2132139935,"Ν. Πλαστήρα 50, Διόνυσος 14576",,https://network.nlg.gr/library/dimotiki-vivliothiki-dionisou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Δραπετσώνας,public,B,Αττική,Αγωνιστών Πολυτεχνείου & Καραϊσκάκη Δραπετσώνα,drapetsonalib@gmail.com,2132004097,Αγωνιστών Πολυτεχνείου & Καραϊσκάκη Δραπετσώνα 18648,http://keratsinilibrary.blogspot.com,https://network.nlg.gr/library/dimotiki-vivliothiki-keratsiniou-drapetsonas-vivliothiki-drapetsonas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ελληνικού Αργυρούπολης,public,B,Αττική,Rethimnis  and Dodekanisou,library@elliniko-argyroupoli.gr,"2132026031, 2132019220 2132019220","Rethimnis 1 and Dodekanisou 37, Argiroupoli 164 52, Greece",http://www.elliniko-argyroupoli.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-ellinikoy-argyroypolis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ζωγράφου,public,B,Αττική,Λεωφόρος Παπάγου -,lib-zogr@otenet.gr,210-7704605,"Λεωφόρος Παπάγου 30-32, Ζωγράφου 15771",http://www.zografou.gov.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-zografou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ηλιούπολης,public,B,Αττική,Νικομάχου  Ηλιούπολη Αττικής,library@politismos-ilioupoli.gr,210 9948344,Νικομάχου 18 Ηλιούπολη Αττικής 16341,,https://network.nlg.gr/library/dimotiki-vivliothiki-ilioupolis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ιλίου - Αγίου Φανουρίου,public,B,Αττική,Αγίου Φανουρίου  Ίλιον Αττικής,library.af@gmail.com,2132030268,Αγίου Φανουρίου 99 Ίλιον Αττικής 13122,,https://network.nlg.gr/library/dimotiki-vivliothiki-iliou-agiou-fanouriou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Ιλίου - Κεντρική,public,B,Αττική,Μενελάου  - Ίλιον Αττικής-,ilionbibl@gmail.com,2132030001 2132030002,Μενελάου 63 - Ίλιον Αττικής- 13122,,https://network.nlg.gr/library/dimotiki-vivliothiki-iliou-kentriki/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Καλλιθέας,public,B,Αττική,Andromachis A,vivliothiki@kallithea.gr,2109593518,"Andromachis 86A, Kallithea 176 72, Greece",http://www.kallithea.gr/?page_id=68,https://network.nlg.gr/library/dimotiki-vivliothiki-kallitheas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Καλυβίων Δήμου Σαρωνικού,public,B,Αττική,Ευαγγελίστριας  (Κεντρική Πλατεία Καλυβίων),libkalivia@yahoo.gr,2299048509,"Ευαγγελίστριας 21 (Κεντρική Πλατεία Καλυβίων), Καλύβια Θορικού Τ.Κ. 19010 Δήμος Σαρωνικού",http://www.kalivialibrary.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-kalivion-dimou-saronikou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Κερατσινίου - Δραπετσώνας,public,B,Αττική,Εμμανουήλ Μπενάκη  Κερατσίνι,keratsinilib@gmail.com,"2104312182, 2104003116",Εμμανουήλ Μπενάκη 70 Κερατσίνι 18757,http://keratsinilibrary.blogspot.com,https://network.nlg.gr/library/dimotiki-vivliothiki-keratsiniou-drapetsonas/,2026-08-21,yes,1,,,,shared mailbox — represents 2 libraries in this network; send once
Δημοτική Βιβλιοθήκη Κερατσινίου - Δραπετσώνας Παράρτημα Ευγένειας,public,B,Αττική,Βύρωνος  & Πλατωνος Κερατσίνι,keratsinilib@gmail.com,2104003116,Βύρωνος 79 & Πλατωνος Κερατσίνι 18755,http://keratsinilibrary.blogspot.com,https://network.nlg.gr/library/dimotiki-vivliothiki-keratsiniou-drapetsonas-parastima-evgenias/,2026-08-21,yes,1,,,duplicate-of:53,shares keratsinilib@gmail.com with row 53 — already covered by that send
Δημοτική Βιβλιοθήκη Κορωπίου,public,B,Αττική,Γεωργίου Παπασιδέρη  Κορωπί,info@koropilib.gr,2106626295,"Γεωργίου Παπασιδέρη 13 Κορωπί 19441, Αττική",https://www.koropilib.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-koropiou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Λαυρίου Δήμου Λαυρεωτικής,public,B,Αττική,Κουντουριώτη,library@lavrio.gr,2292060790,"Κουντουριώτη 1, Τ.Κ. 19500, Λαύριο",,https://network.nlg.gr/library/dimotiki-vivliothiki-lavreotikis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Λυκόβρυσης - Πεύκης,public,B,Αττική,Αφροδίτης  & Μουστακλή Πεύκη,librdpef@otenet.gr,2106128825,Αφροδίτης 4 & Μουστακλή Πεύκη 15121,,https://network.nlg.gr/library/dimotiki-vivliothiki-dimou-likovrisis-pefkis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Μαρκοπούλου,public,B,Αττική,Geor. Papavasiliou,vivliothikimarkopoulo@gmail.com,22990 49393,"Geor. Papavasiliou 34, Markopoulo Mesogeas 190 03, Greece",,https://network.nlg.gr/library/dimotiki-vivliothiki-markopoyloy/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Μεγάρων,public,B,Αττική,Κωνσταντίνου Σχινά,vmaria20000@gmail.com,2296320313,"Κωνσταντίνου Σχινά 2, Μέγαρα 191 00",,https://network.nlg.gr/library/dimotiki-vivliothiki-megaron/,2026-08-21,yes,1,,,excluded:personal-mailbox,"address is a named individual, not an institutional mailbox — do not send; re-source a generic library address"
"Δημοτική Βιβλιοθήκη Μοσχάτου ""Μιχάλης Κατσαρός""",public,B,Αττική,Πίνδου  Μοσχάτο -,lib_moschatou@yahoo.gr,2109414314,Πίνδου 36 Μοσχάτο 183-44,,https://network.nlg.gr/library/dimotiki-vivliothiki-moschatou-tavrou-vivliothiki-moschatou-pnevmatiko-kentro/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νέας Ιωνίας,public,B,Αττική,Λεωφόρος Ηρακλείου,library@neaionia.gr,2102776470,"Λεωφόρος Ηρακλείου 264, ΤΚ 14231, Περιφέρεια Αττικής",,https://network.nlg.gr/library/dimotiki-vivliothiki-neas-ionias/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νέας Περάμου Αττικής,public,B,Αττική,Νέα Πέραμος,vivliodhmoti@yahoo.com,"2296035586, 2296320355","Μαργαρίτη Ευαγγελίδη και Χρήστου Συρράκου, Νέα Πέραμος 190 06, Ελλάδα",,https://network.nlg.gr/library/dimotiki-vivliothiki-neas-peramou-attikis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νέας Σμύρνης,public,B,Αττική,Αϊδινίου,nslibrary@yahoo.com,21 3202 5961,"Αϊδινίου 28, Νέα Σμύρνη, 17124",,https://network.nlg.gr/library/dimotiki-vivliothiki-neas-smyrnis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νέας Φιλαδέλφειας - Νέας Χαλκηδόνας,public,B,Αττική,Λεωφ. Θεσσαλονίκης  (Πρώην ο ΓΕΛ Νέας Φιλαδέλφειας «Μίλτος Κουντουράς»)   Νέα Φιλαδέλφεια,library@dimosfx.gr,210 2582466,Λεωφ. Θεσσαλονίκης 40 (Πρώην 3ο ΓΕΛ Νέας Φιλαδέλφειας «Μίλτος Κουντουράς») 143 42 Νέα Φιλαδέλφεια,,https://network.nlg.gr/library/dimotiki-vivliothiki-neas-filadelfeias-neas-chalkidonas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Νίκαιας,public,B,Αττική,Αρκαδίου  Νίκαια Αττικής,nikaialib@yahoo.gr,2104936680,Αρκαδίου 23 Νίκαια Αττικής 184 53,https://nikaiarentislib.wixsite.com/nikaia,https://network.nlg.gr/library/vivliothiki-nikeas/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Παλαιού Φαλήρου,public,B,Αττική,Αγίου Αλεξάνδρου,vivliothiki.dpf@palaiofaliro.gr,2109846668,"Αγίου Αλεξάνδρου 5, Τ.Κ. 17561, Παλαιό Φάληρο, Αττική",https://kidslibpfaliro.openabekt.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-paleou-falirou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Πειραιά,public,B,Αττική,Ελ. Βενιζέλου  και Κολοκοτρώνη Πειραιάς- T.K.,library@piraeus.gov.gr,"2144090103, 2144090100",Ελ. Βενιζέλου 22 και Κολοκοτρώνη Πειραιάς- T.K. 18531,https://piraeus.gov.gr/dhmotikh-vivliothikh/,https://network.nlg.gr/library/dimotiki-vivliothiki-pirea/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Περάματος,public,B,Αττική,Καραολή Δημητρίου & Θράκης  Πέραμα,peramalibrary@outlook.com.gr,210-4022688,Καραολή Δημητρίου & Θράκης 25 Πέραμα 18863,,https://network.nlg.gr/library/dimotiki-vivliothiki-peramatos/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Περιστερίου,public,B,Αττική,Σκρα  & Αδριανουπόλεως Περιστέρι Τ.Κ.,info@dvivlper.gr,"2105716057, 210 5716069",Σκρα 62 & Αδριανουπόλεως Περιστέρι Τ.Κ. 12134,http://www.dvivlper.gr/,https://network.nlg.gr/library/dimotiki-vivliothiki-peristeriou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Πνευματικού Κέντρου Δήμου Ασπροπύργου,public,B,Αττική,Αλέκου Παναγούλη  Ασπρόπυργος,library@0102.syzefxis.gov.gr,2105577191,Αλέκου Παναγούλη 13 Ασπρόπυργος 19300,,https://network.nlg.gr/library/dimotiki-vivliothiki-pnevmatikou-kentrou-dimou-aspropirgou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Σαλαμίνας,public,B,Αττική,Λ. Καραμανλή  Σαλαμίνα,library@salamina.gov.gr,2132027316,Λ. Καραμανλή 1 Σαλαμίνα 18900,http://www.salamina.gr/Default.aspx?tabid=255&language=el-GR,https://network.nlg.gr/library/dimotiki-vivliothiki-salaminas/,2026-08-21,yes,1,,,,
"Δημοτική Βιβλιοθήκη Ταύρου "" Κωστής Παλαμάς """,public,B,Αττική,Αγ. Σοφίας  Ταύρος,tayrobib@otenet.gr,2103417939,Αγ. Σοφίας 16 Ταύρος 17778,,https://network.nlg.gr/library/dimotiki-vivliothiki-moschatou-tavrou-vivliothiki-tavrou/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Τμήμα Ιστορίας και Αρχαιολογίας Δήμου Αχαρνών,public,B,Αττική,Φιλαδέλφειας  και Κεφαλληνίας,libraryacharnes@gmail.com,2102322878,"Φιλαδέλφειας 217 και Κεφαλληνίας 1 , Αχαρναί, 136 71",https://arxaiologikoacharnes.wordpress.com/,https://network.nlg.gr/library/vivliothiki-tmimatos-archeologias-ke-istorikis-erevnas/,2026-08-21,yes,1,,,,
